NAME,NAME,PHONE NO.,website,add,TAGS
RushTera,Mr. Chuck Stormon , (800) 565-4050,www.schopfer.com,The Tech Garden,Services
"RZ Engineering, PLLC",Mr. Rudy Zona , (315) 432-1089,www.scolaro.com,"6320 Fly Rd., Ste. 109",Engineers Civil
Sandler Training,Mr. Greg Masingill , (315) 451-8797,www.securitas.com,Franklin Center Building,Training Programs & Co...
Sanico Corporation,Mr. Anthony Musuta , (315) 455-1100,www.securitronics.com,327 Wavel St.,Janitorial Supplies
Scalfone Law PLLC,Ms. Melody Westfall  , (315) 412-0440,www.sedgwickbusiness.com,"247 W. Fayette St., Ste. 203",Legal Services
Schooley Mitchell,Mr. Reinaldo Alvarez , (518) 907-4837,www.sensorytechnologies.com,"85 Park St., Ste. 202",Consultants
Schopfer Architects LLP,Mr. David  A. Schlosser , (315) 474-6501,www.servpronorthonondagacounty.com,1111 James St.,Architects
"Scolaro Fetter Grizanti & McGough, P.C.",Ms. Gina M. Glover , (315) 471-8111,www.sheratonsyracuse.com,"507 Plum St., Ste. 300",Legal Services
"Securitas Security Services USA, Inc.",Mr. James  D. Thomas , (315) 451-3740,www.siemens.com,"6712 Brooklawn Pkwy., Ste. 200",Security Systems Services...
"Securitronics Company, Inc.",Mr. Terry  S. Rivet , (315) 484-7750,www.s2ieng.com,100 Osceola Rd.,Security Systems Services...
"Sedgwick Business Interiors - Syracuse, LLC",Mr. Douglas Sedgwick , (315) 424-1500,www.southsideinnovation.org,100 W. Court St.,"Office Furniture Retail, Office Equipment & Fur..."
"Sensory Technologies, LLC",Mr. Karl Paisley , (315) 729-7639,www.spectrum.com,106 Dwight Park Cir.,Business Services
Servpro of N&E Onondaga & of Oswego County,,(315) 457-3432,www.srcinc.com,6800 Northern Blvd.,"Disaster Restoration, Fire & Water Damage Re..., Carpet Cleaning, Duct Cleaning, Mold Inspection & Reme..."
Sheraton Syracuse University Hotel & Conference Center,Mr. David Heymann , (315) 475-3000,www.ssfundingresources.com,801 University Ave.,"Hotels & Motels, Banquets & Conference..., Restaurants"
"Sidney Devorsetz, PLLC",Mr. Sidney Devorsetz , (315) 422-6600,www.staffleasing-peo.com,307 S. Townsend St.,Legal Services
Siemens Industry Inc.,Mr. Dan Mathewson , (315) 437-2726,www.staplesadvantage.com,"6075 E. Molloy Rd., Ste. 4","Control Systems & Regu..., Energy Services"
"Smartech Systems, Inc.",Mr. Glenn Hirt , (315) 701-2316,www.staples.com,500 E. Brighton Ave.,Engineers
South Side Innovation Center,"Mr. El-Java Abdul-Qadir, MSW ", (315) 443-8466,www.statcm.com,2610 S. Salina St.,Business Development/Servi...
Spectrum Enterprise,Mr. Noel Dempsey , (315) 634-6200,www.stevensinteriors.com,"3179 Erie Blvd. E., Ste. 230","Cable TV Companies, Internet Services, Telecommunications Service..., Security Systems Services..."
"SRC, Inc.",Mr. Paul Tremont , (315) 452-8000,www.stratcomllc.com,7502 Round Pond Rd.,Research & Development
"SS Funding & Procurement Resources, LLC",Ms. Sarah Stephens , (315) 530-2502,www.suburbanpropane.com,226 Moore Ave.,Professional Services
"Staff Leasing, Inc.",Mr. Mark Roberts , (315) 641-3600,www.oswego.edu/metro,149 Northern Concourse,"Employee Leasing Services, Employee Benefits, Human Resource Consultants, Payroll Services"
Staples Business Advantage,Mr. Chris Murphy , (315) 741-3779,www.sustainableofficesolutions.com,"5793 Widewaters Pkwy., Ste. 110",Office Supplies
"Staples, Inc.",Ms. Janelle A. Carter , (315) 463-8040,www.sutherlandglobal.com,3 Chevy Dr.,"Office Supplies, Printers"
STAT Communications,Mr. Travis Morgia , (315) 782-7770,www.syracusefire.com,121 Franklin St.,Security Systems Services...
Stevens Office Interiors,Mr. Fabricio Morales , (315) 479-5595,www.syrlsp.com,6804 Manlius Center Rd.,"Office Equipment & Fur..., Office Furniture Retail"
"Strategic Communications, LLC",Mrs. Crystal DeStefano , (315) 463-2325,www.cusetech.com,PO Box 353,Public Relations
"Suburban Propane, LP",Ms. Kim M. Gessini , (315) 385-4484,www.syrtime.com,5793 Widewaters Pkwy.,Energy Services
SUNY Oswego Metro Center,Dr. Kimberly Armani , (315) 399-4100,www.tailwaterlodge.com,"The Atrium Building, Ste. 115","Schools, Training Programs & Co..."
"Sustainable Office Solutions, LLC",Mr. Andy Picco , (315) 579-7283,www.taitem.com,"900 Old Liverpool Rd., Ste. 2",Office Equipment & Fur...
Sutherland Global Services,Mr. Scott Savage , (585) 586-5757,www.rentingmemories.com,441 S. Salina St.,Services
"Syracuse Fire Fighters Assoc., Local 280, IAFF",Mr. Paul Motondo , (315) 475-0766,www.tdo.org,PO Box 11161,Unions
Syracuse Label & Surround Printing,Mr. Paul Roux , (315) 422-1037,www.teracai.com,200 Stewart Dr.,Labels
Syracuse Technologies,Mr. Jeff Brinson , (315) 679-5360,www.tesla.com,5 Lumber Way,"Information Technology, Audio-Visual Equipment..."
"Syracuse Time & Alarm Co., Inc.",Mr. John R. Urciuoli , (315) 433-1234,www.alvinagroup.com,2201 Burnet Ave.,"Security Systems Services..., Fire Alarm Systems"
